ItemNumber,UPC,GTIN,Category,Brand,Name,Varietal,BlendDetails,Vintage,WineType,BarrelAged,Age,Proof,Style,Country,SubRegion,BottleSize,BottleUOM,Closure,BottleMaterial,BottleHeight,BottleWidth,BottleDepth,BottleWeight,BottlesPerCase,VolumeCaseLiters,CaseWidth,CaseDepth,CaseHeight,CaseWeight,CaseCube,Ti,Hi,CasesPerPallet,CasesProduced,Vinification,Kosher,Mevushal,KosherCertifyingAgency,GlutenFree,Vegan,TastingNote,FoodPairing,WinemakersDistillers,ProductionProcess,SoilType,Topography,AgingProcess,ABVProof,pH,Acidity,ResidualSugarGL,Brix,Awards,Reviews,Rating
14221,087752019528,10087752019525,Wines Under,Herzog,Herzog Special Reserve Alexander Valley Cabernet Sauvignon 1.5L,Cabernet Sauvignon,,2012,Red,No,,,Dry,USA,"Alexander Valley, California",1.50,L,Natural Cork,Glass,0,0,0,0,6,9,8.5,12.25,14.5,35.6,0.87,0,0,60,,,Kosher For Passover,Yes,OU; Rabbi Weinberger; Rabbi Teichman,No,No,,,,0,,,,14.00,,,,0,,,
69804,00,,Wines Under,Zakon,Zakon Seven Seventy 1.5L,,,,,No,,,,,,1.50,L,,,0,0,0,0,6,9,8.7,13.3,12.9,31.1,0,0,0,75,,,,No,,No,No,,,,,,,,0.00,,,,,,,
41740,087752027165,10087752027162,Imports Under,Koenig,Alsace Koenig Pinot Blanc 750ml,Pinot Blanc,,2019,White,No,,,Dry,France,,750,ML,,Glass,12.6,2.75,2.75,2.9,12,9,9.84,12.6,13.77,35.27,0.92,14,4,56,,,Kosher For Passover,Yes,OU; Rabbinate of Strasbourg,No,No,,,,0,,,,12.00,,,,0,,,
26195,087752026939,10087752026936,Imports Under,Bartenura Wines,CANS MOSCATO BARTENURA 250 ML,Moscato,,,White,No,,,Sparkling Sweet,Italy,Piedmonte,250,ML,Natural Cork,Aluminum,5.25,4.25,4.25,2.45,48,12,8.9,13.2,11.2,30,0.53,0,0,65,,,Kosher For Passover,Yes,OU; Rabbi Garelik; Rabbi Weissmandl,No,No,,,,0,,,,5.00,,,,0,,,
40513,087752025673,10087752025670,Imports Under,French Selections,GISCOURS MARGAUX 3 LIT,,,2018,Red,No,,,Dry,France,,3,L,,Glass,16.44,5.05,5.05,11.02,1,3,6.57,18.15,6.46,15.43,0,0,0,42,,,Kosher For Passover,No,OU; Rabbi Seckbach,No,No,,,,0,,,,13.00,,,,0,,,
40507,087752025666,10087752025663,Imports Under,French Selections,GISCOURS MARGAUX '17 750 ML,,,2017,Red,No,,,Dry,France,,750,ML,,Glass,12.01,3.02,3.02,2.76,12,9,12.99,19.69,7.32,41.89,0,0,0,49,,,Kosher For Passover,No,OU; Rabbi Seckbach,No,No,,,,0,,,,13.00,,,,0,,,
22070,874537001713,10874537001710,Imports Under,Tzafona Cellars,Tzafona Cellars Cabernet Sauvignon 750ml,Cabernet Sauvignon,,2016,Red,No,,,Sweet,Canada,,750,ML,Synthetic Cork,Glass,12,3,3,2.7,12,9,12.5,9.5,12.5,32.2,0.53,0,0,60,,,Kosher For Passover,Yes,COR; Mehadrin Toronto,No,No,,,,0,,,,13.00,,,,0,,,
14250,087752011027,10087752011024,Wines Under,Herzog,PINOT NOIR SANTA RITA S/R HERZOG 750 ML,,,2018,,No,,,,,,750,ML,Natural Cork,,0,0,0,0,12,9,11,14.75,12,40,0,0,0,52,,,,Yes,,No,No,,,,,,,,14.50,,,,,,,
40385,087752026946,10087752026943,Imports Under,French Selections,POUILLY FUME J DE VILLEBOIS 750 ML,Sauvignon Blanc,,2020,White,No,,,Semi Sweet,France,,750,ML,,Glass,11.65,3.1,3.1,2.9,12,9,10.1,13.25,12,35.85,1.08,0,0,55,,,Kosher For Passover,Yes,,No,No,,,,0,,,,13.00,,,,0,,,
14402,087752009819,10087752009816,Wines Under,Herzog,Herzog Cabernet Sauvignon LT/12 750ML,,,2012,,No,,,,,,750,ML,Natural Cork,,0,0,0,0,12,9,4,4,4,35,0,0,0,60,,,,Yes,,No,No,,,,,,,,13.50,,,,,,,
23213,087752027202,10087752027209,Imports Under,Elvi,HERENZA ROSE ELVI WINES 750ML,,,2020,,No,,,,,,750,ML,Natural Cork,,11.8,2.76,2.76,2.75,12,9,12.2,9.45,12.6,33,0.82,15,5,75,,,,No,,No,No,,,,,,,,12.50,,,,,,,
23265,087752026922,10087752026929,Imports Under,Elvi,SANGRIA SINTONIA WHITE ELVI WINES 750ML,,,,White,No,,,Sweet,Spain,,750,ML,Screw Cap,Glass,12,3.15,3.15,0,12,9,9.84,12.99,12,33,0.8,15,5,70,,,Kosher,Yes,OU; Rabbi Katz of Charedim Israel; Federation of Synagogues (London),No,No,,,,0,,,,7.00,,,,0,,,
69806,00,,Wines Under,Zakon,Zakon Eminent Dry 1.5L,,,,,No,,,,,,1.50,L,,,0,0,0,0,6,9,8.4,13.1,12,31,0,0,0,75,,,,No,,No,No,,,,,,,,0.00,,,,,,,
14253,087752024850,10087752024857,Wines Under,Herzog,Herzog Cabernet Sauv LT/14 3L,,,2014,,No,,,,,,3,L,Natural Cork,,0,0,0,0,1,3,9,9.12,23.12,13.2,0,0,0,40,,,,Yes,,No,No,,,,,,,,13.50,,,,,,,
15180,690770993666,10690770993663,Wines Under,Hajdu,Hajdu Grenache 750ml,Grenache,,2019,Red,No,,,Dry,USA,California,750,ML,Natural Cork,Glass,12,3.25,3.25,40,12,4.5,10,13,12,40,0.48,0,0,56,,,Kosher For Passover,No,,No,No,,,,0,,,,14.80,,,,0,,,
14223,087752017760,10087752017767,Wines Under,Herzog,CABERNET SAUV SR/AV HERZOG 3LIT,Cabernet Sauvignon,,2018,Red,No,,,Dry,USA,"Alexander Valley, California",3,L,Natural Cork,Glass,0,0,0,0,1,9,9,9.13,23.13,13.2,0,0,0,60,,,Kosher For Passover,Yes,OU; Rabbi Weinberger; Rabbi Teichman,No,No,,,,0,,,,13.00,,,,0,,,
14635,087752027233,10087752027230,Wines Under,Herzog,CABERNET SAUVIGNON CALISTOGA SINGLE VINEYARD HERZOG 75,Cabernet Sauvignon,,2016,Red,No,,,Dry,USA,"Napa Valley, California",750,ML,Natural Cork,Glass,0,0,0,0,12,9,9.75,13,13.25,39,0,15,4,60,,,Kosher For Passover,No,OU; Rabbi Weinberger; Rabbi Teichman,No,No,"Dark purple in color. On the nose, ripe blackberries, cherries and black currants with hints of toasted oak and roasted herbs. Full-bodied and deeply extracted, with high intensity on the palate which features layers of ripe dark forest berries, black plums and earthy minerals. Medium-plus acidity with slightly chewy tannins on a long and plush finish.",,,0,,,,14.50,,,,0,,,
35240,087752027561,10087752027568,Imports Under,Psagot,Psagot Pompeo 750ml,,,2018,Red,No,,,Dry,Israel,,750,ML,,Glass,0,0,0,2.65,12,9,9.5,12.5,12.2,32.75,0.81,14,5,70,,,Kosher For Passover,No,OU; Badatz Edah HaChareidis,No,No,,,,0,,,,15.00,,,,0,,,
41275,087752026144,10087752026141,Imports Under,Herzog Selections France,Les Marronniers Chablius Premier Cru 750ml,,,2018,,No,,,,,,750,ML,,,11.81,3.15,3.15,2.76,12,9,13.39,10.24,11.81,34.39,0.93,14,5,70,,,,No,,No,No,,,,,,,,14.20,,,,,,,
14550,087752011744,10087752011741,Wines Under,Herzog,Herzog Limited Edition Pinot Noir 750ml,,,2018,,No,,,,,,750,ML,Natural Cork,,0,0,0,0,12,9,1,1,1,1,0,0,0,1,,,,No,,No,No,,,,,,,,13.50,,,,,,,
35186,087752027271,10087752027278,Imports Under,Shiloh,Shiloh Rose 1.5L,,Cabernet Franc/Barbera,2020,Rose,No,,,Dry,Israel,,1.50,L,,Glass,15.75,5.9,5.9,0,6,9,8.27,17,12.2,34.4,0.98,0,0,50,,,Kosher For Passover,Yes,OK; Chug Chasam Sofer (Bnei Brak),No,No,,,,0,,,,13.50,,,,0,,,
34450,087752027264,10087752027261,Imports Under,Binyamina,Binyamina Winery Ramat Sirin Vineyard Petite Sirah 750ml,Petite Syrah,,2013,Red,No,,,Dry,Israel,,750,ML,Natural Cork,Glass,12,3.55,3.55,0,6,4.5,13.7,13.7,8,40,9.45,0,0,54,,,Kosher For Passover,No,OU; Chug Chasam Sofer (Bnei Brak),No,No,,,,0,,,,13.50,,,,0,,,
69820,0000,,Wines Under,Zakon,Zakon Harmony 1.5L,,,,,No,,,,,,1.50,L,,,0,0,0,0,6,9,9,13.5,12.75,35,0,0,0,75,,,,Yes,,No,No,,,,,,,,0.00,,,,,,,
41481,087752021873,10087752021870,Imports Under,French Selections,Roubine La Vie en Rose Cotes de Provence 1.5L,,,2020,Rose,No,,,Dry,France,,1.50,L,,Glass,15.75,4.33,4.33,5.38,3,4.5,12.99,16.14,5.12,17.37,1.14,0,0,56,,,Kosher For Passover,No,OU; Rabbi Seckbach,No,No,,,,0,,,,13.00,,,,0,,,
41053,087752027288,10087752027285,Imports Under,French Selections,CHATEAU ROUBINE PREMIUM CRU CLASSE 375 ML,,,2020,Rose,No,,,Dry,France,,375,ML,,Glass,9.06,2.76,2.76,1.73,12,4.5,6.69,16.14,9.84,21.58,8,7,8,80,,,Kosher For Passover,No,OU; Rabbi Seckbach,No,No,,,,0,,,,13.00,,,,0,,,
30360,087752026755,10087752026752,Imports Under,Teperberg,INSPIRE FAMITAGE TEPERBERG 750 ML,,Sauvignon Blanc/Gewurztraminer,2019,White,No,,,Dry,Israel,,750,ML,,Glass,11.14,3.5,3.5,0,12,9,11,14.5,11.8,37.5,1.02,11,5,55,,,Kosher For Passover,No,OU; Badatz Eidah Chareidit; Machfud,No,No,"Bright straw in color. Notes of citrus and tropical fruit on the nose, as well as apple peels, stone fruits, and hints of white pepper. Light to medium-bodied, vibrant, with notes of lime, white peach, pineapple, nice minerality on the mid-palate, with notes of ripe apricot, star fruit, guava, medium acidity as well as orange pith on the long and refreshing finish.",,,0,,,,12.00,,,,0,,,
35273,087752024492,10087752024499,Imports Under,Psagot,SINAI RED PSAGOT 375 ML,,Cabernet Sauvignon/Syrah,2018,Red,No,,,Dry,Israel,,375,ML,,Glass,0,0,0,0,12,4.5,7.6,9.3,10.6,18.8,0.43,23,6,115,,,Kosher For Passover,No,OU; Badatz Edah HaChareidis,No,No,,,,0,,,,14.50,,,,0,,,
22010,0874537118145,110874537118142,Imports Under,Tzafona Cellars,CABERNET SAUVIGNON ICEWINE TZAFONA CELLARS 375 ML,Cabernet Sauvignon,Cabernet Sauvignon,2016,Red,No,,,Sweet,Canada,Canada,375,ML,Synthetic Cork,Glass,0,0,0,0,12,4.5,7.4,9.3,13.4,25.15,0.53,0,0,104,,"Frozen whole grapes pressed in hydraulic basket press, controlled temp fermentation, aged in Stainless.",Kosher For Passover,No,COR; Mehadrin Toronto,No,No,"Cherry red towards pink in color.  Full-bodied with lots of sweet cherries, strawberry candzy, angel hair, as well as caramelized nuts and fermented cherries,  figs and apricots lingering on the very long finish.",Try this Kosher Niagara Icewine with chocolate cake topped with a dark chocolate ganache or simply sip on its own,Avraham Gislason/Scott MacGregor,0,"Mineral-rich mix of sand, gravel, loam and clay",Unique micro climate of hot humid summer with very  cold winter,bottle aged,11.50,3.07,10.4,225,0,,,
10920,087752001400,10087752001407,Sparkling,Kedem Wines,PINK CHAMPAGNE NYS 750 ML,,,,Sparkling,No,,,Semi Dry,USA,New York,750,ML,Synthetic Cork,Glass,0,0,0,0,12,9,10.4,13.3,12.8,40.7,1.02,14,4,56,,,Kosher For Passover,Yes,OU; Tzelem Rav,No,No,,,,0,,,,12.00,,,,0,,,
42530,087752024652,10087752024659,Imports Sparklng,French Selections,CHAMPAGNE BARONS ROTHSCHILD ROSE GIFT 750 ML,Pinot Noir,,,Rose,No,,,Dry,France,,750,ML,,Glass,3.3,3.3,12.5,3.5,6,4.5,13.25,13.75,8.75,29,0.92,11,9,67,,,Kosher For Passover,No,OU; Rabbi Seckbach,No,No,,,,0,,,,12.00,,,,0,,,
40240,087752024645,10087752024642,Imports Under,French Selections,CHATEAU DE BY 750 ML,,,2017,Red,No,,,Dry,France,Medoc,750,ML,,Glass,0,0,0,0,12,9,11.6,18.6,6.4,35.3,0.8,0,0,56,,,Kosher For Passover,Yes,OU; Rabbinate of Paris,No,No,,,,0,,,,14.50,,,,0,,,
12606,087752025383,10087752025380,Wines Under,Kesser,MUSCATINI RED 1.5LIT,Muscat,,2020,Red,No,,,Sweet,USA,California,1.50,L,Natural Cork,Glass,0,0,0,0,6,9,8.4,12.4,13.3,32.4,0.8,15,4,56,,,Kosher For Passover,No,OK; Rabbi Weinberger,No,No,,,,0,,,,5.50,,,,0,,,
14263,087752024720,10087752024727,Wines Under,Herzog,CABERNET SAUV LAKE COUNTY HERZOG 3LIT,Cabernet Sauvignon,,2016,Red,No,,,Dry,USA,"Lake County, California",3,L,Natural Cork,Glass,0,0,0,0,1,3,1,1,1,35,0,0,0,60,,,Kosher For Passover,Yes,OU; Rabbi Weinberger; Rabbi Teichman,No,No,,,,0,,,,13.50,,,,0,,,
34460,087752013915,10087752013912,Imports Under,Binyamina,Binyamina Winery The Choseh Sapphire 750ml,,,2018,,No,,,,,,750,ML,,,0,0,0,0,6,4.5,13,13.4,8,22.9,0.81,0,0,54,,,,No,,No,No,,,,,,,,13.80,,,,,,,
32930,087752025741,10087752025748,Imports Under,Jezreel,ALFA SPECIAL RESERVE JEZREEL 750 ML,,Shiraz/Cabernet Sauvignon,2018,Red,No,,,Dry,Israel,,750,ML,Natural Cork,Glass,11.8,2.9,2.9,2.65,12,9,9.3,12.4,13.1,40.5,0,14,5,70,340,"After the grapes were handpicked they went through a delicate soaking process to extract aroma and color and then transferred into a cold, mild fermentation. Each varietal was aged separately for 18 months. After blending the different varietals, the wine rested in barrels for a few additional months until it was bottled.",Kosher For Passover,Yes,OK; Babad,No,No,,Light beef and poultry meals and Mediterranean dishes.,Yehuda Nahar,0,,Mediterranean climate,French oak 20 months,14.20,,0.14199999999999999,,0,,,
14214,14214,10087752009823,Wines Under,Herzog,Herzog Cabernet Sauv NV/04 750ml,,,2004,,No,,,,,,750,ML,Natural Cork,,0,0,0,0,12,9,1,1,1,37,0,0,0,70,,,,Yes,,No,No,,,,,,,,13.50,,,,,,,
26440,087752024935,10087752024932,Imports Sparklng,Bartenura Wines,Bartenura Demi-Sec Gift Bag,,Moscato/Glera,NV,White,No,,,Sparkling Semi Sweet,Italy,Piedmonte,750,ML,,Glass,0,0,0,3.7,12,9,10.8,14.5,13.1,45.8,1.19,11,5,55,,,Kosher For Passover,Yes,OU; Rabbi Garelik; Rabbi Weissmandl,No,No,,,,0,,,,10.00,,,,0,,,
42531,087752024669,10087752024666,Imports Sparklng,French Selections,Champagne Barons de Rothschild Rose 1.5L,Pinot Noir,,,Rose,No,,,Dry,France,,1.50,L,,Glass,0,0,0,0,3,4.5,1.5,1.5,1.5,23,0,11,9,99,,,Kosher For Passover,No,OU; Rabbi Seckbach,No,No,,,,0,,,,12.00,,,,0,,,
38616,087752017593,0100877520175903,Imports Under,Tulip,Tulip Winery Cabernet Reserve Cabernet Sauvignon 1.5L,Cabernet Sauvignon,,2014,Red,No,,,Dry,Israel,,1.50,L,,Glass,0,0,0,0,1,1.5,17.7,18.9,5.6,28.65,1.08,0,0,100,,,Kosher For Passover,No,OK; Rabbi Babad; Beit Yosef,No,No,,,,0,,,,14.00,,,,0,,,
39961,087752024805,10087752024802,Imports Under,Flam,Flam Classico 1.5L,,47% Cabernet Sauvignon/Merlot/17% Cabernet Franc/16% Merlot/13% Petit Verdot and 7% Syrah,2019,Red,No,,,Dry,Israel,,1.50,L,,Glass,0,0,0,0,6,9,1,1,1,2,0,0,0,64,,,Kosher For Passover,No,OK; Rabbi Babad,No,No,,,,0,,,,14.10,,,,0,,,
35964,087752009833,10087752009830,Imports Under,Domaine Du Castel,DOMAINE DU CASTEL GRAND VIN GIFT 750 ML,,,2016,,No,,,,,,750,ML,,,0,0,0,0,12,9,9.9,13.2,12.9,37.8,0.98,12,4,48,,,,No,,No,No,,,,,,,,13.50,,,,,,,
34470,087752013892,10087752013899,Imports Under,Binyamina,THE CHOSEN RUBY 750 ML,,88% Syrah/12% Viognier,2018,Red,No,,,Dry,Israel,,750,ML,Natural Cork,Glass,0,0,0,0,6,4.5,34,56.5,8.5,21.73,9.45,0,0,63,,,Kosher For Passover,No,OU; Chug Chasam Sofer (Bnei Brak),No,No,,,,0,,,,13.50,,,,0,,,
14241,087752024867,10087752024864,Wines Under,Herzog,Herzog Special Edition Cabernet Sauvignon 1.5L,Cabernet Sauvignon,,2018,Red,No,,,Dry,USA,"Rutherford District Napa Valley, California",1.50,ML,Natural Cork,Glass,0,0,0,0,6,9,8.5,12.25,14.5,35.6,0.87,0,0,60,,,Kosher For Passover,No,OU; Rabbi Weinberger; Rabbi Teichman,No,No,,,,0,,,,14.00,,,,0,,,
14470,087752010037,10087752010034,Wines Under,Herzog,SYRAH CLAUTIERE VINEYARD HERZOG 750 ML,,,2017,,No,,,,,,750,ML,Natural Cork,,0,0,0,0,12,9,0.01,0.01,0.01,37,0,0,0,52,,,,Yes,,No,No,,,,,,,,13.50,,,,,,,
33995,087752024171,10087752024178,Imports Under,Vitkin,CARIGNAN VITKIN 750 ML,Carignan,,2016,Red,No,,,Dry,Israel,,750,ML,,Glass,0,0,0,0,12,9,9.7,12.6,13.4,37.2,0.95,15,5,75,,,Kosher For Passover,No,OK; Chareidim - R’ Anschel,No,No,"Very dark garnet in color with on the nose cherries, asphalt, black pepper and toasted oak. Medium + in body with on the palate black cherries, licorice and tar, with notes of plums and tobacco leaves as well as a touch of bitterness, nice acidity and rather soft tannins on the moderately long finish.",,,0,,,,13.00,,,,0,,,
21310,087752025123,10087752025120,Imports Under,Alfasi,GRAN RESERVA CABERNET SAUV ALFASI 750 ML,Cabernet Sauvignon,Cabernet Sauvignon,2018,Red,No,,,Dry,Chile,,750,ML,Cork,Glass,0,0,0,0,12,9,9.52,12.67,12.28,40,0,14,5,70,,Separation of the stems from the grape mass in Stainless steel machinery and softy crushed. Fermentation with selected yeasts. Complete Malolatic Fermentation. Mevushal.,Kosher For Passover,Yes,OK; Rabbi Feigelstock; Rabbi Berger,No,No,,"Ideal for red meats, lamb and game meats. It also goes well with cheese with intense flavors and spicy foods. ",,0,,,,13.00,,,,0,,,
14264,087752024737,10087752024734,Wines Under,Herzog,Herzog Special Reserve Lake County Cabernet Sauvignon 375ml,Cabernet Sauvignon,,2019,Red,No,,,Dry,USA,"Lake County, California",375,ML,Natural Cork,Glass,0,0,0,1.5,12,4.5,7.6,9.8,9.6,18.65,0.41,0,0,92,,,Kosher For Passover,Yes,OU; Rabbi Weinberger; Rabbi Teichman,No,No,,,,0,,,,13.50,,,,0,,,
41058,087752020180,10087752020187,Imports Under,French Selections,CHATEAU ROUBINE PREMIUM CRU CLASSE 750 ML,,,2020,Red,No,,,Dry,France,Cotes de Provence,750,ML,,Glass,12.9,3.5,3.5,3,12,9,20.2,13.5,7.8,39.1,1.23,7,8,56,,,Kosher For Passover,Yes,OU; Rabbi Seckbach,No,No,"Very bright, pale salmon pink color and delicate aromas of spring flowers, ripe red currants and stone fruits. Light in body, it is a vibrant Rose, very refined and delicate on the palate.",,,0,,,,13.00,,,,0,,,
26189,087752016336,10087752016333,Imports Under,Bartenura Wines,MOSCATO BARTENURA GIFT 750ML,Moscato,,2020,White,No,,,Sweet,Italy,Piedmonte,750,ML,Natural Cork,Glass,0,0,0,0,12,9,9.13,12.6,13,37.59,0.79,0,0,70,,,Kosher For Passover,Yes,OU; Rabbi Garelik; Rabbi Weissmandl,No,No,,,,0,,,,5.00,,,,0,,,
35843,0877520259184,10087752025915,Wines Under,Netofa,NETOFA LATOUR ROSE 750ML,Tempranillo,,2020,Rose,No,,,Dry,Israel,,750,ML,,Glass,0,0,0,0,6,4.5,9.5,12,6.5,18,0,0,0,135,,,Kosher For Passover,No,Badatz Jerusalem,No,No,,,,0,,,,12.50,,,,0,,,
