id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing,is_archived
812,36,2019-03-08,12:00:00,13:30:00,24,"Admin&#039;s Note",108,0,"Taster Note","19,25",2,"23,22",0,completed,3,1,2,11:51:00,00:00:00,00:00:00,13:30:00,01:39:00,22.6092,88.4142,"2019-03-08 06:00:24","2019-05-27 10:53:48",0,pending,1,0
814,36,2019-03-12,15:45:00,17:15:00,16,Good,35,0,"Good luck",9,2,22,0,completed,3,1,2,15:47:00,00:00:00,00:00:00,15:51:00,00:04:00,22.6092,88.4141,"2019-03-12 10:13:23","2019-05-27 10:53:52",0,pending,1,0
839,154,2019-04-12,17:54:00,18:24:00,35,Admin,35,0,Taster,"11,12",2,23,0,completed,3,1,2,17:01:00,00:00:00,00:00:00,17:09:00,00:08:00,22.6085,88.4148,"2019-04-12 10:23:34","2019-05-27 10:53:57",0,pending,1,0
843,154,2019-04-16,19:23:00,19:53:00,16,Admin,35,0,Test,"1,26,27",2,23,0,completed,3,1,2,18:39:00,00:00:00,00:00:00,18:40:00,00:01:00,22.6091,88.4142,"2019-04-16 12:53:48","2019-05-27 10:54:00",0,pending,1,0
870,154,2019-05-24,12:40:00,17:44:00,9,"Avengers: Endgame was highly anticipated, and Disney backed the film with extensive marketing campaigns. It premiered in Los Angeles on April 22, 2019, and was theatrically released in the United States on April 26, 2019, in IMAX and 3D. The film received praise for its direction, acting, musical score, visual effects and emotional weight, with critics lauding its culmination of the 22-film story. It also broke numerous box office records and has grossed over $2.6 billion worldwide, surpassing Infinity War&#039;s entire theatrical run in just 11 days and ",35,0,"Avengers: Endgame was highly anticipated, and Disney backed the film with extensive marketing campaigns. It premiered in Los Angeles on April 22, 2019, and was theatrically released in the United States on April 26, 2019, in IMAX and 3D. The film received praise for its direction, acting, musical score, visual effects and emotional weight, with critics lauding its culmination of the 22-film story. It also broke numerous box office records and has grossed over $2.6 billion worldwide, surpassing Infinity War&#039;s entire theatrical run in just 11 days and","26,27",2,24,0,completed,3,1,2,12:55:00,00:00:00,00:00:00,12:55:00,00:00:00,22.6092,88.4143,"2019-05-24 06:45:16","2019-05-27 10:54:03",0,pending,1,0
872,154,2019-05-27,11:52:00,13:22:00,16,Admn,87,0,"Taster
",26,2,23,0,completed,4,1,2,12:28:00,00:00:00,00:00:00,12:29:00,00:01:00,22.6091,88.4141,"2019-05-27 06:23:56","2019-05-27 10:54:06",0,pending,1,0
875,154,2019-05-27,13:09:00,14:39:00,9,Admin,35,0,"TasterElse, enter the wine name and the vintage if desired, or the region for tasting notes. If you don&#039;t get the result you&#039;re seeking, either we do not have tasting notes ...
?Bordeaux Vintage Guide · ?Recent Wine Tasting Notes · ?Search Wine Reviews and ...
Wine tasting - Wikipedia
https://en.wikipedia.org/wiki/Wine_tasting
Jump to Tasting notes - A tasting note refers to a taster&#039;s written testimony about the aroma, taste identification, acidity, structure, texture, and balance of a ...",26,2,24,0,completed,3,1,2,13:24:00,00:00:00,00:00:00,03:44:00,14:20:00,22.61,88.4167,"2019-05-27 07:39:19","2019-05-27 10:54:09",0,pending,1,0
877,154,2019-05-27,15:22:00,16:52:00,16,Admin,87,0,Taster,11,2,23,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-05-27 09:52:41","2019-05-27 11:06:56",0,pending,0,0
879,154,2019-05-27,16:58:00,17:41:00,16,sszs,87,0,ss,26,2,23,0,completed,3,1,2,16:59:00,00:00:00,00:00:00,17:41:00,00:41:00,22.6091,88.4141,"2019-05-27 11:27:36","2019-05-27 12:23:07",0,pending,1,0
880,154,2019-05-27,18:03:00,19:33:00,16,Admin,87,0,Taster,11,2,23,0,completed,3,1,2,18:05:00,00:00:00,00:00:00,18:35:00,00:29:00,22.6091,88.4141,"2019-05-27 12:33:30","2019-05-27 13:06:11",0,pending,1,0
