id,user_id,tasting_date,start_time,end_time,store_id,admin_note,taster_id,agency_taster_id,taster_note,wine_id,wine_confirm_status,question_id,confirm_status,status,job_status,accept_status,job_state,job_start_time,pause_time,resume_time,finish_time,working_hour,latitude,longitude,created_on,updated_on,is_deleted,request_job_approval_status,ready_for_billing,is_archived,overtime,late,has_invoice
1499,154,2019-12-10,07:00:00,08:00:00,4781,,35,0,,"2,5,7",2,,0,completed,3,1,2,19:15:00,00:00:00,00:00:00,20:07:00,20:57:00,22.6098,88.414,"2019-12-10 07:43:34","2019-12-10 14:38:30",0,pending,1,0,0,1,0
1500,154,2019-12-10,13:00:00,13:39:00,4781,,2560,0,,2,2,,0,approved,3,1,1,14:39:00,00:00:00,00:00:00,00:00:00,00:00:00,1,0,"2019-12-10 08:31:31","2019-12-10 09:09:56",0,pending,0,0,0,0,0
1501,154,2019-12-10,01:00:00,01:30:00,5062,,2519,0,,2,2,,0,approved,3,1,1,14:31:00,00:00:00,00:00:00,00:00:00,00:00:00,1,0,"2019-12-10 08:59:08","2019-12-10 09:01:41",0,pending,0,0,0,0,0
1502,154,2019-12-10,01:31:00,02:01:00,5062,,2519,0,,2,2,,0,approved,3,1,1,14:38:00,00:00:00,00:00:00,00:00:00,00:00:00,1,0,"2019-12-10 09:06:26","2019-12-10 09:08:13",0,pending,0,0,0,0,0
1509,154,2019-12-10,02:02:00,02:32:00,5062,,2519,0,,2,2,25,0,completed,4,1,2,14:56:00,00:00:00,00:00:00,14:56:00,00:00:00,1,0,"2019-12-10 09:20:50","2019-12-10 09:37:39",0,pending,1,0,0,0,0
1513,154,2020-01-08,05:00:00,08:00:00,4781,,2522,0,,11,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-12-10 09:27:19","2019-12-10 10:08:58",0,pending,0,0,0,0,0
1516,154,2019-12-10,12:03:00,12:35:00,4781,,2560,0,,2,2,"26,25,24,20,14",0,completed,3,1,2,15:10:00,00:00:00,00:00:00,15:10:00,00:00:00,1,0,"2019-12-10 09:34:48","2019-12-10 10:05:13",0,pending,1,0,0,0,0
1527,154,2019-12-10,16:10:00,16:40:00,4781,,2560,0,,5,2,"25,24",0,completed,3,1,2,15:50:00,00:00:00,00:00:00,15:50:00,00:00:00,0,0,"2019-12-10 10:08:57","2019-12-10 10:22:40",0,pending,1,0,0,0,0
1534,154,2019-12-10,17:56:00,18:30:00,16,,2560,0,,1,2,,0,completed,3,1,2,17:30:00,00:00:00,00:00:00,17:52:00,00:22:00,0,0,"2019-12-10 11:54:31","2019-12-10 12:23:42",0,pending,1,0,0,0,0
1535,154,2019-12-10,19:09:00,19:40:00,4781,,2560,0,,2,2,,0,completed,3,1,2,18:41:00,00:00:00,00:00:00,22:33:00,03:51:00,0,1,"2019-12-10 13:07:27","2019-12-10 17:04:37",0,pending,1,0,0,0,0
1536,154,2019-12-10,04:00:00,04:37:00,4781,,35,0,,2,2,,0,approved,3,1,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,0,0,"2019-12-10 13:29:10","2019-12-10 17:27:00",0,pending,0,0,0,0,0
